mountain_range,highest_mount,height,countries
Himalayas,Mount Everest,8848,"Nepal, China"
Karakoram,K2,8848,Pakistan
Hindu Kush,Tirich Mir,8848,Pakistan
Kongur Shan,Kongur Tagh,8848,China
Daxue Mountains,Mount Gongga,8848,China
Pamir Mountains,Ismoil Somoni Peak,8848,Tajikistan
Kakshaal Too,Jengish Chokusu,8848,"China, Kyrgyzstan"
Nyenchen Tanglha Mountains,Gyala Peri,8848,China
Andes,Aconcagua,8848,Argentina
Kunlun Mountains,Chakragil,8848,China
Cordillera de la Ramada,Mercedario,8848,Argentina
Tian Shan,Xuelian Feng,8848,China
Hindu Raj,Buni Zom,8848,Pakistan
Cordillera Occidental,Chimborazo,8848,Ecuador
Alaska Range,Denali,8848,USA
Saint Elias Mountains,Mount Logan,8848,Canada
Eastern Rift mountains,Mount Kilimanjaro,8848,Tanzania
Sierra Nevada de Santa Marta,Pico Cristóbal Colón,8848,Colombia
Caucasus Mountains,Mount Elbrus,8848,Russia
Trans-Mexican Volcanic Belt,Pico de Orizaba,8848,Mexico
Alborz,Mount Damavand,8848,Iran
Yun Range,Jade Dragon Snow Mountain,8848,China
Bogda Shan,Bogda Peak,8848,China
Cordillera Oriental,Ritacuba Blanco,8848,Colombia
Armenian Highlands,Mount Ararat,8848,Turkey
Rwenzori Mountains,Mount Stanley,8848,"Congo, Uganda"
Wrangell Mountains,Mount Blackburn,8848,USA
Sierra Nevada de Mérida,Pico Bolívar,8848,Venezuela
Trans-Ili Alatau,Pik Talgar,8848,Kazakhstan
Sentinel Range,Vinson Massif,8848,Antarctica
Sudirman Range,Puncak Jaya,8848,Indonesia
Alps,Mont Blanc,8848,"Italy, France"
Kamchatka,Klyuchevskaya Sopka,8848,Russia
Semien Mountains,Ras Dashen,8848,Ethiopia
Bismarck Range,Mount Wilhelm,8848,Papua New Guinea
Virunga Mountains,Mount Karisimbi,8848,"Congo, Rwanda"
Altai Mountains,Belukha Mountain,8848,"Kazakhstan, Russia"
Sierra Nevada,Mount Whitney,8848,USA
Sawatch Range (Rocky Mountains),Mount Elbert,8848,USA
Cascade Range,Mount Rainier,8848,USA
Sierra Madre de Chiapas,Volcán Tajumulco,8848,Guatemala
Atlas Mountains,Toubkal,8848,Morocco
Finisterre Range,Mount Boising,8848,Papua New Guinea
"Crocker Range, Borneo",Mount Kinabalu,8848,Malaysia
Cameroon line,Mount Cameroon,8848,Cameroon
Coast Mountains,Mount Waddington,8848,Canada
Chugach Mountains,Mount Marcus Baker,8848,USA
Canadian Rockies,Mount Robson,8848,Canada
Yushan Range,Yushan,8848,Taiwan
Baluchestan Mountains,Taftan,8848,Iran
Saur Mountains,Sauyr Zhotasy,8848,"China, Kazakhstan"
Patkai,Saramati,8848,"India, Myanmar"
Cordillera de Talamanca,Cerro Chirripó,8848,Costa Rica
"Barisan Mountains, Sumatra",Mount Kerinci,8848,Indonesia
Ross Island,Mount Erebus,8848,Antarctica
Honshu,Mount Fuji,8848,Japan
Southern Alps,Aoraki/Mount Cook,8848,New Zealand
Tenerife,Teide,8848,Spain
Watkins Range,Gunnbjørn Fjeld,8848,Greenland
Tengger Range,Semeru,8848,Indonesia
Owen Stanley Range,Mount Suckling,8848,Papua New Guinea
Sarawat Mountains,Jabal an Nabi Shu'ayb,8848,Yemen
Sredinny Range,Ichinsky,8848,Russia
Sierra Nevada,Mulhacén,8848,Spain
Latimojong,Rantemario,8848,Indonesia
Tibesti Mountains,Emi Koussi,8848,Chad
Pyrenees,Aneto,8848,Spain
Sicily,Mount Etna,8848,Italy
Siple Island,Mount Siple,8848,Antarctica
"Cordillera Central, Hispaniola",Pico Duarte,8848,Dominican Republic
Réunion,Piton des Neiges,8848,France
Al Hajar Mountains,Jabal Shams,8848,Oman
Cerro de la Neblina,Pico da Neblina,8848,Brazil
"Douglas Range, Alexander Island",Mount Stephenson,8848,Antarctica
Timor,Pico do Ramelau,8848,East Timor
"Apo–Talomo, Mindanao",Mount Apo,8848,Philippines
Allardyce Range,Mount Paget,8848,South Georgia
"Cordillera Central, Luzon",Mount Pulag,8848,Philippines
Madagascar,Maromokotro,8848,Madagascar
Aleutian Range,Mount Shishaldin,8848,USA
Fogo,Mount Fogo,8848,Cape Verde
